Operation,Stage,Occurrences,Avg. time (us),Custom Info
Pipeline,Build,2,318.0,
Pipeline,Compile,2,3701.5,
GeneratorOp(ID:6),AcquireGIL,19746,1777.6476754785801,
GeneratorOp(ID:6),__next__,19744,438.2436183144235,
MapOp(ID:5),GetFromPreviousOp,19744,2456.5600688816826,{{TensorRowFlags:Data}}
MapOp(ID:5),WorkerGet,19744,13544.90594611019,{{TensorRowFlags:Data}}
PyFuncOp,AcquireGIL,39488,2190.2235615883324,
Pipeline,Launch,2,10438.5,
MapOp(ID:5),WorkerProcess,19744,8138.405338330679,{{TensorRowFlags:Data}}
MapOp(ID:4),GetFromPreviousOp,19744,2313.4832860615884,{{TensorRowFlags:Data}}
MapOp(ID:4),WorkerGet,19744,15915.972599270655,{{TensorRowFlags:Data}}
MapOp(ID:4),WorkerProcess,19744,5708.79786264179,{{TensorRowFlags:Data}}
BatchOp(ID:3),GetFromPreviousOp,19744,2328.95284643435,{{TensorRowFlags:Data}}
BatchOp(ID:3),WorkerGet,6582,66192.1580066849,{{TensorRowFlags:Data}}
BatchOp(ID:3),WorkerProcess,6582,493.12275903980407,{{TensorRowFlags:Data}}
ShuffleOp(ID:2),GetFromPreviousOp,6582,7916.942722576738,{{TensorRowFlags:Data}}
GeneratorOp(ID:6),__next__,2,283.5,{{TensorRowFlags:StopIteration}}
MapOp(ID:5),GetFromPreviousOp,2,2645.5,{{TensorRowFlags:EOE}}
MapOp(ID:5),WorkerGet,2,12520.0,{{TensorRowFlags:EOE}}
MapOp(ID:5),WorkerProcess,2,605.5,{{TensorRowFlags:EOE}}
MapOp(ID:4),GetFromPreviousOp,2,598.5,{{TensorRowFlags:EOE}}
MapOp(ID:4),WorkerGet,2,10652.5,{{TensorRowFlags:EOE}}
MapOp(ID:4),WorkerProcess,2,545.5,{{TensorRowFlags:EOE}}
BatchOp(ID:3),GetFromPreviousOp,2,209.0,{{TensorRowFlags:EOE}}
BatchOp(ID:3),WorkerGet,2,48888.5,{{TensorRowFlags:EOE}}
BatchOp(ID:3),WorkerProcess,2,208.5,{{TensorRowFlags:EOE}}
ShuffleOp(ID:2),GetFromPreviousOp,2,240.5,{{TensorRowFlags:EOE}}
TakeOp(ID:1),GetFromPreviousOp,2,27814089.5,{{TensorRowFlags:Data}}
EpochCtrlOp(ID:0),GetFromPreviousOp,2,27814466.5,{{TensorRowFlags:Data}}
Pipeline,GetNext,2,27825784.0,{{TensorRowFlags:Data}}
IteratorConsumer,GetNextAsOrderedPair,2,27826043.0,
